Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
103856.6,7484,704,615,263,197,363,2705,135,8,2377,388
52628.99,3947,784,497,153,112,62,1052,808,3,1030,761
59783.65,3562,592,259,45,64,34,760,362,0,651,392
99203.78,5298,0,16,10,511,757,1472,10,0,1340,61
46168.94,5909,464,1280,337,239,97,1063,1683,5,1022,1510
89598.9,8464,405,367,137,491,279,2730,150,0,2443,259
98614.69,6116,438,630,444,394,183,2223,85,14,2011,158
57029.9,4142,40,388,363,518,166,860,764,353,1362,512
114890.27,8163,425,606,268,230,286,2593,65,0,2194,236
101557.56,5643,1093,753,243,90,13,1674,653,4,1610,620
46190.31,3769,172,796,102,38,6,538,608,0,673,403
67851.14,7005,384,1185,218,162,258,2115,683,0,2233,454
82116.8,7390,1145,378,354,457,76,794,2207,4,1589,1190
99098.78,10602,25,87,213,659,999,992,1910,0,1837,770
29164.45,2512,1037,335,119,51,10,168,1362,45,208,1342
111142.72,3508,9,105,238,232,351,886,300,0,821,271
46951.83,6812,397,1500,211,101,9,1005,1293,0,1119,1045
81952.42,9589,36,482,752,766,401,2726,1106,5,2858,736
88592.93,3053,206,403,193,104,59,1024,31,3,824,180
59318.43,4083,13,153,431,391,22,917,130,5,882,98
48375.23,3626,145,840,314,64,8,133,1267,0,404,934
61344.5,4464,1013,516,87,133,48,1395,498,4,1133,711
58289.43,1436,471,85,22,12,26,127,529,0,226,396
54690.37,4792,414,1126,440,435,43,324,2223,0,894,1519
74488.82,4498,658,1067,215,80,3,1108,997,5,1167,953
86026.09,7694,23,792,495,931,101,2239,197,0,1879,330
80834.1,4431,620,562,145,204,77,1643,160,5,1443,304
123051.21,3095,145,935,46,19,0,1210,15,0,1062,83
98486.81,7616,0,112,668,1201,471,2217,563,0,2154,594
88448.99,5027,190,1434,128,88,54,1905,122,0,1517,383
47918.68,2552,762,505,90,99,23,107,1396,21,444,983
115518.45,5813,479,1126,224,86,37,1914,163,0,1844,153
48903.5,4683,617,1149,159,115,19,1085,1014,0,859,1176
57607.74,2983,215,411,125,94,71,703,430,11,713,383
46774.7,1408,110,56,0,33,80,90,292,0,28,287
75814.56,3451,15,297,589,151,35,802,315,0,717,302
76163.96,2216,24,391,381,93,9,853,85,0,766,132
82636.52,9996,754,559,679,770,108,1370,2850,0,3122,826
80376.2,7188,122,1147,999,416,208,1679,1406,5,2123,967
72985.55,3388,5,781,476,122,5,1166,237,5,978,344
47132.67,3574,582,1026,81,20,11,796,967,0,838,818
41262.9,5563,874,1039,577,392,53,1199,1868,4,1189,1711
33027.29,1274,123,314,52,50,53,0,856,0,165,589
54617.16,2650,265,764,187,162,10,38,1514,0,598,837
100346.86,6453,594,1054,478,122,57,2070,291,3,1776,491
80520.42,5014,569,1053,128,63,13,1559,320,0,1477,363
29458.48,4011,925,599,148,137,14,244,1624,42,434,1454
119012.62,8521,0,0,8,15,67,2405,6,0,2041,51
60852.49,1987,176,242,130,134,28,730,24,78,778,33
148931.28,5,0,0,0,1,0,1,0,0,0,0
93678.54,3778,67,269,272,408,253,1259,76,210,1315,171
103328.02,5696,83,270,199,298,97,1043,423,213,1150,381
88165.2,8902,78,938,97,171,94,2707,244,0,2216,381
111072.55,6149,1467,314,168,137,78,1507,861,0,1471,766
46813.46,3131,871,302,55,50,143,1259,296,3,757,725
47503.89,6575,832,1096,344,358,104,1966,1155,49,1649,1383
85341.42,3295,16,772,446,70,48,1048,372,0,1031,307
84139.88,1367,277,164,26,9,10,486,5,0,6,510
107307.07,6335,3,23,133,1280,388,1872,241,8,1731,251
111484.08,6639,0,0,0,0,15,2253,244,5,1621,452
46136.94,1874,610,220,74,38,26,32,950,35,235,719
51553.7,3398,1183,325,11,6,7,48,1539,5,449,1074
109973.95,7810,10,66,1154,281,79,2414,174,0,2190,130
70319.55,6528,602,889,585,227,88,1864,926,5,1916,756
90818.03,7739,29,632,1111,284,33,1593,562,0,1602,363
81497.29,4527,28,1025,606,91,0,1609,202,0,1124,579
87085.48,6183,1282,585,70,162,84,2079,479,0,1612,702
75127.67,5129,226,313,281,478,242,1669,127,196,1700,166
74719.15,3613,50,514,394,192,35,1171,317,0,1140,270
104477.63,2644,128,263,372,106,21,853,65,4,762,132
107123.43,3563,54,636,625,71,10,1356,80,5,1380,45
104946.18,9564,175,1209,724,274,324,2464,1287,3,3029,593
101686.98,5558,20,419,1167,369,50,1943,129,4,1815,171
63020.65,4114,1245,196,37,32,0,1279,269,0,1127,328
233799.61,1933,428,81,92,36,6,649,25,0,604,70
88166.11,5722,14,1123,708,90,13,1537,456,0,1154,770
112312.81,10312,0,0,34,663,1459,2927,7,4,2593,136
58154,2863,453,637,149,84,5,874,461,5,830,434
115073.96,5346,50,0,35,280,801,1322,60,0,1164,94
49517.35,4974,406,826,114,213,210,0,3359,5,709,2234
39834.77,3270,769,296,192,75,22,434,1052,50,489,1002
80648.23,6027,11,218,720,496,56,924,648,0,1110,320
79942.88,6823,169,285,468,1315,127,2070,351,4,1933,414
54696.94,8621,280,1050,576,680,632,1345,2623,13,1452,2368
99499.68,5430,284,686,296,229,194,1902,11,9,1697,127
83098.25,2839,1005,187,15,16,0,1076,180,0,966,216
102242.83,4843,13,499,710,254,23,1389,163,0,1151,301
98887.8,1551,302,24,0,18,0,216,284,0,162,142
52693.88,1271,319,198,33,30,10,367,229,0,353,234
95385.25,5384,0,0,0,28,186,1476,17,6,1190,175
56634.06,3014,462,744,181,54,18,701,787,4,743,733
101631.61,5327,227,112,279,322,273,1198,701,0,1377,337
107604.95,4148,118,537,186,279,207,1235,143,0,1095,211
35922.46,7449,571,1623,439,275,134,1575,1639,163,1042,2064
91577.77,3708,10,3,61,223,341,1055,0,0,1009,3
83584.21,6262,514,737,473,234,102,1612,782,8,1712,637
90120.32,11870,463,219,104,591,753,3634,415,0,3045,709
83805.77,6116,976,594,299,268,134,1933,420,5,1657,597
70314.95,7412,808,1260,444,228,103,2329,884,4,2406,755
100264.6,6011,661,508,485,186,95,2075,66,8,1735,243
122872.3,4659,0,0,45,1021,315,1468,0,0,1290,76
77245.34,3273,302,356,253,166,79,1259,25,0,1153,114
114582.31,187,0,15,15,13,9,64,0,0,40,9
56812.38,6959,2085,367,145,126,34,1517,1350,26,1600,1095
76856.15,2257,157,415,162,211,39,877,78,129,932,157
84604.17,5790,42,1359,587,202,0,1801,432,0,1629,487
78591.22,7799,39,127,384,948,724,2023,1069,1,2374,655
44649.27,10625,392,1716,415,566,539,1542,2423,0,1928,1797
48939.76,2105,352,424,349,78,12,0,1470,0,304,1008
113540.19,4260,87,129,175,668,199,1126,214,3,1096,166
203008.01,5240,1225,345,120,42,0,1137,650,0,1186,524
42399.1,4460,798,820,121,86,47,198,1754,5,578,1358
64441.78,3094,1113,136,15,11,3,1200,138,11,1001,257
91199.95,370,27,27,32,33,12,156,0,5,139,15
47506.18,5529,414,1167,274,114,10,762,1269,5,1164,755
65143.03,5863,448,677,181,119,161,1883,480,11,1666,601
64375,21,0,1,1,1,1,5,2,0,7,0
54787.31,5689,1498,358,72,43,19,1170,1012,6,1367,668
56091.05,7391,116,839,107,685,306,394,2810,4,1906,1133
89692.79,4624,8,13,92,500,520,1562,66,0,1153,344
66114.29,2417,811,274,38,13,0,894,272,4,730,395
124517.74,7184,32,511,207,525,631,2296,208,141,1799,583
89535.19,6158,0,0,0,204,987,1764,5,0,1427,187
38782.74,8094,1242,1663,541,387,204,316,3945,17,850,3403
68677.73,6562,633,637,452,314,131,1876,746,44,1862,697
90620.85,3473,92,850,229,50,4,1042,258,4,951,316
131552.27,4744,12,27,338,788,334,1603,4,0,1423,98
91266.2,5635,989,737,103,91,33,1783,459,5,1672,432
106276.09,6370,396,722,314,524,136,2060,163,9,1910,214
80094.56,6134,154,1299,297,145,93,1351,868,4,1505,671
96494.92,3632,782,187,275,112,83,1383,191,0,844,620
51528.63,4553,925,566,225,135,42,663,1543,5,1058,983
104603.51,10534,237,400,735,741,600,3427,603,0,3137,601
75107.56,4561,88,928,378,247,85,1029,875,0,867,898
79606.19,2390,43,240,270,115,75,776,65,0,575,191
40208.78,4201,1078,608,174,115,33,909,1175,10,599,1294
53573.28,4981,35,755,906,201,50,1287,705,0,1174,704
69556.92,4208,82,922,243,87,29,1224,250,0,719,630
55784.47,1840,163,584,49,33,50,461,452,0,407,486
52067.72,3895,181,952,315,93,28,877,754,4,927,653
107896.59,2302,306,202,76,68,16,722,22,0,618,74
87161.27,5921,152,1197,244,103,31,731,1203,0,1181,631
44299.95,3322,965,758,89,47,12,828,1084,0,638,1208
79077.86,5409,101,238,120,743,375,1509,528,12,1395,510
41447.63,2896,399,630,81,24,14,176,971,19,447,687
75137.36,8490,150,277,318,830,290,1039,2135,5,2009,975
57783.26,2427,345,325,307,110,80,129,1377,5,418,918
124528.57,5952,308,684,192,588,186,2183,15,0,2035,70
59766.36,4022,136,434,400,617,84,977,811,0,1188,483
106030.33,4059,7,0,7,904,237,1178,5,0,1088,59
59019.17,4659,1447,289,63,31,6,911,971,5,1003,759
53112.47,4660,1370,281,77,59,12,771,1056,6,1054,670
61408.66,5384,747,1268,238,148,12,708,1819,6,1035,1439
93939.32,8400,28,405,344,637,293,2442,21,98,2070,238
102824.49,970,58,45,83,84,11,425,6,0,361,16
53179.39,5670,98,355,639,956,67,44,2124,0,917,1071
95965.11,6603,8,155,1267,762,8,2236,44,0,1835,296
60863.81,4631,605,393,130,160,42,1171,280,48,1142,317
45406.51,5480,783,1207,250,133,34,643,2123,5,736,1788
86054.73,3884,35,788,460,147,71,1081,568,4,1208,377
99262.12,4827,117,122,494,223,194,1607,51,0,1459,122
51597.18,3690,204,777,208,56,14,1000,267,158,717,568
64785.21,3270,1256,168,28,3,10,1055,437,3,973,469
59604.32,3813,270,771,92,143,180,1085,442,9,1172,317
32386.31,1831,450,42,11,57,12,363,239,5,242,352
46810.51,6633,255,645,662,467,57,0,2132,0,760,1234
43524.27,501,3,11,16,21,21,144,26,12,3,63
59559.51,5144,739,730,83,51,21,1073,583,0,1162,393
85038.33,3482,159,610,146,44,108,976,591,0,1093,311
39663.7,7294,254,1881,260,206,61,202,2571,0,832,1761
55455.01,2073,206,339,149,42,41,758,121,10,736,151
86428.57,185,19,13,0,19,13,59,14,0,52,23
97651.3,6087,54,55,31,334,678,1856,219,5,1669,289
112388.43,5837,30,167,443,331,384,1865,5,4,1751,55
81239.08,3794,57,295,276,211,129,1077,185,134,1114,180
112624.03,5947,10,102,853,598,181,1698,130,5,1531,194
24533.88,2384,406,714,258,130,20,16,1612,0,163,1352
101435.65,7802,43,317,310,751,599,2176,1062,16,2311,723
86762.95,5058,302,758,405,180,159,1940,15,3,1842,83
48484.49,4537,1274,404,53,53,44,580,1468,11,808,1217
43611.3,6098,1235,860,213,84,16,557,1902,6,717,1592
50632.21,6968,394,1353,424,113,28,975,1415,0,1138,1109
78028.99,4943,872,405,245,188,97,1707,213,11,1560,336
102240.33,5470,21,442,1132,197,6,1535,286,0,1413,354
39236.26,1401,407,247,129,62,0,11,830,36,187,631
70925.86,4108,465,387,292,357,182,1766,171,3,1687,207
60456,1309,78,118,116,113,26,473,6,43,493,19
46628.17,929,78,126,64,45,9,344,20,5,310,45
99879.08,4789,6,6,222,383,727,1334,269,0,1360,136
61089.58,148,9,9,10,20,0,41,4,4,27,9
88409.3,5846,532,620,129,556,108,1844,213,0,1824,175
40481.27,2451,834,214,27,60,52,217,1042,32,264,1009
114327.1,4186,34,69,627,437,3,1104,98,0,1067,47
57239.5,1982,15,550,201,73,19,627,138,169,798,143
93562.03,6993,427,635,408,534,218,2587,61,51,2322,208
79614.77,2644,685,170,100,41,36,683,476,0,805,330
48236.78,4269,1424,345,58,10,11,1673,278,10,1370,456
88067.36,4908,90,549,285,249,119,1599,148,3,1460,190
80638.88,2810,111,529,83,31,6,597,214,0,594,160
93236.78,4711,67,1244,419,95,82,1318,827,0,1245,768
57127.6,2284,224,476,91,47,32,308,583,0,471,377
35334.12,5032,650,957,244,173,34,384,1761,16,443,1568
44014.25,3073,136,752,163,156,56,303,935,123,359,915
104957.66,13075,92,216,41,73,643,3138,1509,20,3038,1335
80639.84,5692,196,316,116,414,385,1465,343,3,1295,445
79811.51,5739,142,1049,360,87,46,1894,178,1,1708,213
114273.46,5961,21,14,24,959,426,1576,27,0,1425,21
36058.33,3880,557,663,372,391,199,45,2468,0,135,2104
95351.61,8139,156,244,242,310,377,1770,508,5,1779,352
52924.3,3625,88,784,124,36,13,700,373,5,505,509
91592.69,5876,166,412,461,763,117,2038,57,10,1748,214
91657.15,5992,164,906,850,202,43,1628,638,4,1573,551
72609.34,5487,20,1152,495,96,28,1536,352,0,1166,606
95284.82,8333,18,597,861,402,238,2230,273,4,1938,274
87436.69,5971,317,544,332,346,310,1794,301,0,1574,338
93643.12,5932,24,116,442,891,494,1615,605,0,1552,540
95345.98,1414,66,78,53,80,90,288,309,5,416,171
53083.99,3621,1159,312,72,30,26,781,971,13,631,981
116690.28,7027,108,106,570,1107,318,2317,250,0,2083,363
43650.64,3777,1330,293,67,58,27,1134,687,4,921,797
47739.49,8250,664,568,46,73,72,1404,1158,27,1480,896
71284.31,1663,10,210,274,146,40,265,5,439,689,20
140977.17,5503,1483,501,215,97,37,947,1502,0,1365,995
50468.28,5123,338,895,397,312,57,824,1554,4,901,1300
84572.77,8055,815,676,468,383,318,2781,267,36,2482,449
86293.38,5150,324,761,260,220,87,1859,38,139,1751,200
101682.99,2026,0,45,303,392,11,779,0,0,713,28
42652.11,3986,727,600,136,104,0,148,1437,10,442,1087
111870.03,5072,3,10,36,780,405,1666,5,0,1474,115
105018.27,5398,78,851,351,480,57,1654,90,248,1771,211
53605.03,1672,0,184,203,372,16,257,101,519,781,71
73540.43,4954,105,1338,256,196,48,1534,513,0,1516,486
48312.83,2462,3,57,74,291,103,1095,10,171,1155,25
57054.3,7008,43,1078,797,146,25,1720,450,0,1253,769
78926.29,3808,93,513,474,177,27,1015,328,5,926,367
91514.31,4281,0,39,0,60,870,1298,431,0,1231,341
58888.44,7007,364,1804,139,44,156,814,1978,0,1261,1345
58855.77,4790,882,459,164,287,74,1069,1368,4,1168,1058
31957.16,5930,1000,1131,230,173,41,15,2663,5,328,2264
41328.71,6187,1654,865,288,108,40,55,3124,38,791,2233
83243.28,3535,206,556,390,170,25,973,452,5,946,452
64992.36,4304,60,575,269,489,156,1324,163,307,1573,251
42567.62,2864,655,484,175,24,34,554,974,0,436,1021
0,0,0,0,0,0,0,0,0,0,0,0
76689.85,4652,50,608,421,477,66,1218,614,0,1245,516
90994.32,6483,16,143,887,399,202,1702,262,0,1456,365
41260.5,6018,50,389,386,315,67,109,2202,0,1011,1140
98789.74,5783,351,659,471,251,182,1930,192,59,1845,272
69200.1,3811,66,1057,407,110,0,669,992,0,1161,430
20912.2,2194,243,593,93,59,27,0,1271,0,0,890
74731.03,4142,572,495,140,86,88,1324,398,4,1338,273
56140.22,4751,76,1002,748,139,32,642,1390,0,987,928
90364.11,6798,55,678,186,700,293,1876,308,2,1637,433
91074.82,4371,254,500,208,105,79,955,459,6,1042,272
48561.11,6141,295,1554,204,298,58,119,2328,0,693,1662
45873.87,2849,125,492,283,185,22,105,1238,0,457,772
30029.45,2001,748,160,62,30,10,91,995,5,143,883
73378.23,9527,89,745,436,1664,550,3018,1119,377,3735,633
37200.08,3572,616,953,229,122,30,98,2017,5,254,1814
72409.65,4391,270,317,269,306,197,1394,338,24,1429,245
112270.55,4039,0,33,39,823,118,1314,128,0,1145,211
72192.69,6486,320,1459,479,485,89,1416,1579,14,1981,941
60856.73,3252,140,210,198,243,114,306,764,4,675,340
105417.04,5882,1931,168,26,6,0,1533,656,0,1534,520
40330.52,3556,143,671,177,65,10,726,365,0,554,504
0,0,0,0,0,0,0,0,0,0,0,0
86830.44,12217,56,390,243,851,1296,64,7467,0,4254,2762
82553.45,1254,0,240,126,8,0,371,5,0,317,53
35575.03,3360,519,458,134,68,26,617,673,5,593,613
40485.18,2907,520,538,65,72,31,510,844,0,494,758
39361.46,1007,462,152,14,34,0,87,579,0,85,564
75000,31,2,4,2,1,1,11,0,0,8,4
76249.72,2707,44,699,189,106,152,784,442,0,922,222
40965.95,5594,255,1111,235,169,35,480,1712,0,601,1435
31493.35,4032,696,558,85,125,33,5,1536,0,282,1202
92558.81,6474,11,14,20,75,1177,1814,368,0,1468,533
66146.64,2949,911,177,26,38,0,353,836,10,482,636
74678.35,5518,2026,434,99,101,33,773,2043,10,1153,1508
46587.79,5476,1303,405,108,159,17,1123,960,6,1121,831
110100.83,4655,350,236,170,58,9,1512,74,4,1307,137
47526.27,4047,207,850,158,150,101,33,1722,11,576,1080
93655.98,5039,345,369,165,86,137,1794,59,19,1599,180
39694.22,2736,499,436,226,176,13,214,1270,6,414,1018
53275.18,5548,279,397,436,375,146,337,1522,10,931,836
73002.84,2908,1044,96,110,36,0,962,339,0,947,308
81946.4,2950,506,247,69,191,39,554,606,0,866,232
67161.92,3881,40,210,516,498,102,1175,601,0,1015,691
71439.7,5341,138,1406,214,82,72,1756,450,14,1461,634
81683.29,5082,44,1055,303,259,30,1500,258,0,1104,560
87459.85,5949,18,426,790,369,85,1800,98,0,1635,166
54386.46,1182,11,48,45,58,39,271,7,16,44,0
98894.03,2663,143,520,109,76,40,917,74,0,810,140
89847.12,10310,9,58,34,30,95,3071,902,0,2919,760
79337.62,6333,280,1012,442,230,85,1122,1153,5,1345,860
45548.06,2717,913,177,47,37,19,16,1206,15,279,878
106412.71,2811,0,606,355,21,6,1011,52,0,902,88
109320.42,7101,78,818,558,689,311,2073,506,0,2154,340
95044.02,2605,6,590,86,137,121,862,143,0,942,28
79715.05,7101,325,634,427,443,254,2332,330,71,2323,284
31529.05,5614,556,1082,418,267,204,116,2830,0,325,2305
71475.28,2720,222,272,92,121,54,497,571,144,593,509
86581.07,3432,215,1043,154,19,15,933,566,0,1058,354
83556.63,3729,333,434,218,125,87,1396,26,0,1254,114
67051.94,4115,209,1025,169,41,20,1282,230,0,919,495
66885.27,6090,171,1894,279,149,89,1250,1549,0,1269,1306
109802.57,6369,0,13,9,68,1182,1504,1039,0,1593,698
82222.88,223,0,63,3,16,0,49,0,37,77,12
43253.47,5866,299,1007,163,94,25,257,1387,0,425,1109
104310.15,3827,357,454,405,57,33,1012,300,32,1059,239
56039.22,4020,475,912,249,41,0,352,1417,0,806,909
36217.44,6797,1432,1041,253,165,47,103,2945,0,392,2589
35766.16,1336,246,294,67,40,14,0,704,5,129,564
68739.06,2006,770,31,11,3,0,735,78,10,663,128
57961.82,1815,639,133,71,19,9,47,833,5,308,548
115618.83,4646,11,20,431,984,15,1524,5,0,1335,80
97754.82,1018,3,76,168,90,43,123,323,0,390,60
46212.9,5057,11,133,640,935,186,0,2394,0,1266,976
46875.92,3197,885,438,138,99,35,232,1403,30,579,1014
74715.39,4706,1488,268,42,20,10,928,937,0,1125,665
71597.22,136,0,8,7,12,0,43,0,0,9,0
87947.6,4190,7,179,923,544,18,723,985,0,1435,170
77589.9,3593,548,119,45,328,122,1166,120,0,846,322
94121.31,4215,53,1177,106,27,3,1257,132,0,1198,88
38971.03,4934,810,1585,411,243,118,21,3244,5,303,2782
138231.47,6144,0,15,1149,554,184,1996,0,0,1839,45
105453.13,9784,0,13,429,1079,705,2592,939,0,2862,310
56982.22,7087,16,38,30,402,72,623,2826,0,1618,1360
43795.25,7141,286,1082,405,388,303,223,3223,12,1514,1684
48184.9,6406,75,1249,591,521,282,603,2388,0,671,2136
84113.57,3570,436,327,247,133,43,1148,60,82,1036,147
47213.44,1524,391,130,21,39,0,303,304,5,254,314
53537.45,4168,132,1240,283,62,21,1028,844,0,592,1131
41334.07,8160,1019,1708,1187,241,238,155,4581,15,1659,2766
79616.76,2664,325,344,148,99,54,1042,38,9,995,87
80594.38,836,18,248,5,59,0,302,25,5,294,44
94864.4,4568,2,30,859,786,358,576,1713,0,1833,343
104931.39,3634,33,29,279,651,93,1243,21,0,1131,52
88160.14,5241,0,2,25,746,845,1525,414,0,1627,197
43634.21,2530,828,183,39,35,13,822,309,10,640,420
47242.24,1159,514,149,20,26,10,0,731,5,166,565
79939.3,2822,581,422,141,52,3,890,385,0,800,391
90670.46,2439,72,679,15,3,0,629,153,0,655,96
78795.54,3729,1075,658,51,6,6,535,1288,0,589,1123
88868.4,7330,17,127,982,593,151,1411,514,9,1571,217
60198.1,3509,256,877,138,133,0,1054,482,0,990,513
56682.27,5649,635,2095,229,103,59,838,2456,0,1652,1477
97551.98,1221,255,151,18,48,13,482,10,3,442,57
90617.9,1614,371,245,0,0,0,598,31,0,583,39
54505.82,4326,269,1050,318,48,21,945,912,0,1006,759
126214.55,9563,0,11,53,1058,1204,3197,97,0,2949,123
57330.21,7531,615,1404,384,229,129,1993,919,3,1574,1228
47995.56,6049,286,1421,377,180,120,690,1840,6,891,1538
115983.79,5812,464,424,540,306,120,1920,39,5,1823,83
49626.1,4412,124,607,576,491,222,208,2002,0,650,1470
82601.25,4603,85,318,386,500,169,1551,308,29,1467,338
85291.55,1266,212,103,63,38,39,559,4,4,456,65
31480.35,3252,389,479,71,79,16,166,899,0,184,809
70838.29,4762,194,302,500,191,44,1027,627,6,666,856
84135.56,7561,125,702,501,1280,82,2524,465,5,2424,473
77448.77,3032,491,697,100,55,0,1086,263,5,1047,293
53569.25,5296,858,779,245,133,76,1906,493,41,1762,576
124829.48,6312,9,238,1178,446,173,1789,382,4,1593,424
113746.01,3930,144,1279,17,7,27,1315,204,0,1201,241
43490.55,7122,128,793,1430,494,229,132,3155,0,1395,1742
43671.58,6391,1682,451,99,69,12,1416,1018,0,1164,1097
54718.75,3809,100,739,441,41,0,940,406,0,847,438
45321.51,615,72,79,14,14,23,220,0,30,238,9
102206.27,5524,318,175,333,506,160,1742,152,5,1663,143
89287.74,6562,0,14,19,74,832,1573,83,3,1349,185
32567.92,782,228,72,17,3,3,86,257,0,121,195
52689.43,3079,862,96,27,69,48,48,1165,5,383,753
41026.73,6312,1120,912,552,365,400,171,4063,3,688,3151
41282.2,4452,1248,410,132,85,158,12,2375,0,663,1543
96460.28,1088,8,96,108,95,47,393,12,0,333,38
69680.67,7671,357,1265,463,462,44,843,2213,0,1616,1254
45533.28,7954,844,1851,269,193,143,461,2953,0,1245,1957
96556.66,3490,651,468,78,79,0,1009,375,0,1156,102
122379.63,7498,56,1319,236,723,270,2726,19,0,2338,222
45358.7,7865,633,1249,306,276,304,684,2568,4,1381,1646
46473.89,7234,1106,960,132,278,36,1232,1397,0,1201,1256
98310.01,7279,202,236,1226,346,64,1906,295,3,1849,225
0,0,0,0,0,0,0,0,0,0,0,0
45811.24,1917,403,449,61,93,0,569,439,4,605,395
112463.82,7084,114,356,687,632,3,2216,48,3,2000,121
55742.89,2811,507,671,74,17,11,744,570,0,753,508
56858.12,4796,234,1279,228,125,25,1392,595,0,1118,726
56409.13,6151,73,1774,261,76,87,1066,1268,8,1763,444
82625.38,6089,38,335,408,263,175,992,726,5,1121,446
67324.64,2131,587,195,31,47,17,201,718,0,376,486
39192.27,4869,1043,920,351,229,54,445,2238,85,751,1818
100577.39,2274,0,32,355,312,7,708,5,0,671,26
89865.47,4575,4,25,13,1026,280,1416,11,0,1191,92
92377.41,4109,41,89,259,884,95,1404,27,0,1239,109
53950.77,2017,425,103,14,43,10,350,315,0,366,262
54721.25,5630,187,1290,372,74,21,1320,712,0,1339,630
96762.71,6210,0,30,120,1078,118,1751,17,0,1211,342
106686.27,1523,35,106,147,60,43,403,5,0,387,17
93592.17,3399,28,327,166,135,17,1095,0,0,887,82
100362.44,9296,137,142,108,98,509,2922,70,40,2602,228
100492.89,7738,454,362,167,866,211,1751,595,0,1604,605
66507,5204,1254,1033,44,66,0,1592,874,0,1466,937
47256.21,5873,1331,470,148,239,168,808,1927,0,1128,1494
95033.76,10905,18,192,299,765,612,3560,361,3,3125,495
